,LON,LAT
0,-118.25455999999997,34.061984
1,-118.17564293889806,34.03257008976194
2,-118.19269258063991,33.98342943307144
3,-118.27214893348187,34.02533373681245
4,-118.22748560652889,33.984408557435046
5,-118.25610999999998,33.98412199999997
6,-118.20205843512375,34.03432638802898
7,-118.28566376184872,34.05585937410476
8,-118.27585,33.823922999999986
9,-118.25281549501602,33.93527823773437
10,-118.22587718919746,33.95095460826229
11,-118.31788999999998,34.094665
12,-118.42072999999999,34.28846199999999
13,-118.37793967551468,34.16414500723704
14,-118.44137262381692,34.31617191326152
15,-118.49634806752005,34.18420767539107
16,-118.44542716071477,34.277896759449426
17,-118.54098223807073,34.19253587584017
18,-118.288,33.98553599999999
19,-118.2538889210358,34.022869933253794
20,-118.59039430951172,34.24493438115082
21,-118.55219074704847,34.21090039667467
22,-118.32400454138343,34.03711407267017
23,-118.29797999999997,34.261842
24,-118.45856960503372,34.21258779239428
25,-118.25104379792413,34.00692707361004
26,-118.43307238460173,34.00277550755047
27,-118.41526,34.178639999999994
28,-118.39478301998105,34.22371143221796
29,-118.26442588811159,33.80086038054454
30,-118.30731999999998,33.80246299999999
31,-118.2790506458515,33.95800734348296
32,-118.30273472629197,33.873255576245725
33,-118.26944,33.970022
34,-118.19376680696163,34.07715403458847
35,-118.15787,34.02535299999999
36,-118.35246489558602,34.015718451162044
37,-118.35174774158958,34.08669748125081
38,-118.55945838422848,34.243465877276975
39,-118.24902000000002,33.96112499999999
40,-118.45333999999998,34.187703000000006
41,-118.28967999999998,34.04001
42,-118.47563208720297,34.24682746862617
43,-118.32638,33.99506199999998
44,-118.21105999999999,33.954944
45,-118.57103000000001,34.16938999999999
46,-118.24138739072683,33.975446622872894
47,-118.48845000000001,34.274660999999966
48,-118.29906,33.73059
49,-118.26992000000001,33.932720999999994
50,-118.33315999999999,34.056695
51,-118.30335999999997,33.935567999999996
52,-118.27133743292137,34.10040970829725
53,-118.38360235043811,34.04089319768754
54,-118.3288784203544,34.094588785840166
55,-118.42366569271873,34.20387612623039
56,-118.60290000000002,34.19633799999998
57,-118.27010000000001,33.994219999999984
58,-118.42644000000001,33.95966999999999
59,-118.45603318178732,34.00596606609354
60,-118.50353,34.26035199999998
61,-118.24246162938348,34.03995453673595
62,-118.19664940228664,34.034304297699435
63,-118.17893999999998,33.94132799999997
64,-118.270044588212,33.828732741696356
65,-118.22762,34.048813
66,-118.24080999999997,34.11754999999999
67,-118.47980999999997,34.26350399999999
68,-118.27243035873892,34.05677444830585
69,-118.43277634952192,34.254516050761815
70,-118.43597999999997,34.05326800000001
71,-118.58848999999996,34.252078
72,-118.19325039089188,34.12335222453593
73,-118.37129,34.04355
74,-118.37920157641022,34.14536170086396
75,-118.20384,34.057327999999984
76,-118.38555999999998,34.15263
77,-118.29284999999997,33.707853
78,-118.29886574226066,34.068222332835916
79,-118.57093000000002,34.20387099999999
80,-118.42693000000001,34.16238499999999
81,-118.19795,33.953332999999986
82,-118.32020991076395,34.002453729780434
83,-118.54155,34.16729499999999
84,-118.46133,34.04571599999999
85,-118.43557999999999,34.029816
86,-118.61151,34.212761999999984
87,-118.39659000000002,34.23612800000001
88,-118.49585,34.05478199999999
89,-118.42322,34.250282
90,-118.44726875073698,34.2816904116271
91,-118.64529999999999,34.17779899999998
92,-118.42224999999998,33.987311999999996
93,-118.19156960910813,34.11324948575085
94,-118.47934,34.239188999999996
95,-118.30957999999998,33.74124200000001
96,-118.33681977728538,34.0161894794688
97,-118.29159999999999,34.008208
98,-118.39656999999998,34.188654
99,-118.50438999999999,34.240332999999985
100,-118.46511999999997,33.979191999999976
101,-118.52332999999999,34.24498999999999
102,-118.31657,33.76487299999999
103,-118.24957,33.851607
104,-118.40607,34.27242799999998
105,-118.24622,33.929466
106,-118.17809000000001,34.079427999999986
107,-118.21890999999997,34.08658999999999
108,-118.41658,34.023822999999986
109,-118.51103999999997,34.29374299999999
110,-118.58545999999998,34.17191199999998
111,-118.26955999999998,33.90489300000001
112,-118.52485,34.22455800000001
113,-118.31250330975828,33.79616567456777
114,-118.40460999999998,33.969237999999976
115,-118.27320411188838,33.787987210622404
116,-118.20327,34.101850000000006
117,-118.29943,33.76513899999999
118,-118.37783999999999,34.203585000000004
119,-118.45095,34.169131000000014
